AQSID,Latitude,Longitude,long_name
(blank line)
530770016,46.375431,-120.729317,White Swan-Yakama Tribe
560350097,42.980000,-110.353058,Wyoming Range
560350099,42.718600,-109.753100,Boulder
560350100,42.791400,-110.054700,Daniel South
560350101,42.869800,-109.870800,Pinedale-WY
560350700,42.486668,-110.099167,Big Piney
560351002,42.373001,-109.563004,Juel Spring
560359991,42.928800,-109.788000,Pinedale
560370300,41.750599,-109.789703,MOXA
560390008,43.670830,-110.599403,GrandTeton NP-Science Sch
560391011,44.559700,-110.400600,Yellowstone NP
560391012,44.456902,-110.831398,Yellowstone NP-Old Faith
560410101,41.369400,-111.041900,Murphy Ridge
