AQSID,LAT,LONG,NAME
File mon_loc_ap5_asof-20160610.csv, from Jen Hinds June 10, 2016.  JKV
530530029,47.186400,-122.451700,Tacoma-L St
530530031,47.265600,-122.385800,Tacoma-Alexander Ave
530531010,46.758300,-122.122200,Mount Rainier NP
530531018,47.140499,-122.299202,Puyallup-128th St
530570011,48.520590,-122.614280,Anacortes-202 Ave
530570015,48.410198,-122.337601,Mt Vernon-2nd Ave 
530579999,48.465401,-122.559998,Anacortes-Bartholomew Rd
530610005,47.806400,-122.316700,Lynnwood-212th
530610020,48.246799,-121.603104,Darrington-Fir St
530611007,48.055000,-122.175797,Marysville-7th Ave
530630001,47.416401,-117.529800,Cheney-Turnbull
530630021,47.672501,-117.364899,Spokane-Augusta Ave
530630046,47.827202,-117.274200,Spokane-Greenbluff Rd
530630047,47.699700,-117.426300,Spokane-Monroe St.
530639996,47.660568,-117.084503,Liberty Lake-E Valeyway
530639997,47.663963,-117.257652,Spokane-E Broadway Ave
530650002,47.885201,-117.988602,Wellpinit-Spokane Tribe
530650005,48.544690,-117.903222,Colville-E 1st St
530670005,46.952499,-122.595200,Yelm-Northern Pacific
530670013,47.029301,-122.821503,Lacey-College St
530710005,46.058800,-118.351400,Walla Walla-12th St
530730005,48.950699,-122.554398,Custer-Loomis
530730015,48.762699,-122.440201,Bellingham-Yew St
530750003,46.724500,-117.180100,Pullman-Dexter Ave
530750005,46.815300,-117.873900,Lacrosse-Hill St
530750006,47.231300,-117.368500,Rosalia-Josephine St
530770005,46.320330,-119.998100,Sunnyside-S 16th
530770009,46.594952,-120.512283,Yakima-4th Ave
530770015,46.380199,-120.332603,Toppenish-Yakama Tribe
530770016,46.375431,-120.729317,White Swan-Yakama Tribe
TT1010002,48.167100,-118.974748,Nespelem
TT1010003,48.296960,-118.202420,Inchelium
